herder_id,labour.item,s2/labour_sharing/s_act_id_other,s2/labour_sharing/s_act_score
85,Taking animals to slaughterhouse,,2
85,Repairing vehicles,,2
85,Repairing fences/corrals,,6
85,Repairing cabins,,2
85,Handcrafts,,1
97,Herding activities,,7
97,Finding lost reindeer,,7
97,Taking animals to slaughterhouse,,2
97,Repairing vehicles,,7
97,Repairing fences/corrals,,7
97,Repairing cabins,,3
97,Handcrafts,,7
